 Uri sujet ; label français ; relation ; WordNet; Uri objet ; label français ; Validation Catherine; Wikipedia; NCBI; note
http://aims.fao.org/aos/agrovoc/c_8523 ; Zizania, ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_3746 ; Hymenachne, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_24608 ; Buchloe, ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_36440 ; Danthonia, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_35572 ; Pascopyrum, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_626 ; Arrhenatherum, ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_6668 ; Rottboellia, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_744 ; Axonopus, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_480 ; Anthoxanthum, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_5435 ; Oryza, Huile de son de riz, ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
